"WID","login_count","level"
W10575,575,39
W10576,5,1
W10577,4,6
W10578,1,1
W10579,1384,49
W10580,2,5
W10581,373,31
W10582,1,1
W10583,118,21
W10584,17,18
W10585,10,7
W10586,29,19
W10587,3,1
W10588,3,1
W10589,311,34
W10590,53,20
W10591,2,1
W10592,3,8
W10593,12,13
W10594,179,42
W10595,2,1
W10596,5,2
W10597,3,1
W10598,20,16
W10599,4,1
W10600,2,1
W10601,5,6
W10602,4,1
W10603,8,6
W10604,3,1
W10605,2,1
W10606,34,18
W10607,2,1
W10608,2,1
W10609,1,1
W10610,52,13
W10611,1,1
W10612,16,16
W10613,3,2
W10614,24,14
W10615,13,12
W10616,244,32
W10617,4,14
W10618,3,1
W10619,7,1
W10620,45,18
W10621,6,5
W10622,3,2
W10623,103,37
W10624,43,21
W10625,7,1
W10626,1,1
W10627,11,5
W10628,7,1
W10629,2,1
W10630,1,1
W10631,242,43
W10632,1453,52
W10633,6,1
W10634,55,27
W10635,15,6
W10636,3,1
W10637,1,1
W10638,127,28
W10639,410,39
W10640,2,1
W10641,3,1
W10642,5,1
W10643,45,25
W10644,6,6
W10645,20,16
W10646,1,1
W10647,3,5
W10648,17,19
W10649,2,1
W10650,176,37
W10651,84,27
W10652,46,29
W10653,16,1
W10654,8,2
W10655,431,38
W10656,4,1
W10657,14,12
W10658,11,8
W10659,46,12
W10660,1975,62
W10661,3,7
W10662,1,1
W10663,3,1
W10664,2,5
W10665,19,17
W10666,4,1
W10667,4,4
W10668,10,15
W10669,424,44
W10670,18,1
W10671,1,1
W10672,6,8
W10673,18,11
W10674,5,1
W10675,18,18
W10676,490,41
W10677,4,6
W10678,150,39
W10679,61,22
W10680,12,5
W10681,4,1
W10682,50,26
W10683,2,1
W10684,132,34
W10685,36,16
W10686,48,14
W10687,4,1
W10688,7,2
W10689,6,8
W10690,4,6
W10691,2,3
W10692,44,24
W10693,38,15
W10694,16,17
W10695,2,1
W10696,7,12
W10697,344,48
W10698,28,21
W10699,4,1
W10700,566,51
W10701,25,15
W10702,3,10
W10703,4,6
W10704,779,47
W10705,5,1
W10706,24,8
W10707,490,44
W10708,4,1
W10709,8,10
W10710,10,1
W10711,1,1
W10712,35,23
W10713,4,9
W10714,4,3
W10715,169,36
W10716,308,38
W10717,5,4
W10718,60,27
W10719,13,11
W10720,4,3
W10721,5,1
W10722,82,22
W10723,2,1
W10724,15,17
W10725,62,16
W10726,2,1
W10727,2,1
W10728,11,9
W10729,3,1
W10730,4,3
W10731,2,5
W10732,148,31
W10733,11,9
W10734,20,16
W10735,35,22
W10736,8,12
W10737,3,1
W10738,68,20
W10739,10,1
W10740,6,12
W10741,16,10
W10742,20,9
W10743,126,28
W10744,1,1
W10745,2,2
W10746,3,2
W10747,7,9
W10748,45,29
W10749,4,1
W10750,29,24
W10751,3,12
W10752,1,1
W10753,345,41
W10754,23,15
W10755,2,1
W10756,16,17
W10757,1,1
W10758,9,1
W10759,415,33
W10760,2,1
W10761,11,14
W10762,2,1
W10763,10,12
W10764,2,1
W10765,204,43
W10766,2,1
W10767,3,5
W10768,1,1
W10769,36,22
W10770,3,1
W10771,4,4
W10772,5,14
W10773,6,9
W10774,63,31
W10775,162,30
W10776,68,39
W10777,2,1
W10778,4,1
W10779,4,1
W10780,113,41
W10781,296,35
W10782,19,13
W10783,4,1
W10784,1,1
W10785,2,2
W10786,9,7
W10787,2,1
W10788,6,1
W10789,15,10
W10790,27,23
W10791,293,41
W10792,211,26
W10793,17,14
W10794,78,32
W10795,3,1
W10796,12,17
W10797,20,23
W10798,3,1
W10799,28,18
W10800,4,5
W10801,5,1
W10802,2,1
W10803,16,16
W10804,24,16
W10805,36,10
W10806,1,1
W10807,9,7
W10808,8,10
W10809,13,5
W10810,4,1
W10811,2,1
W10812,16,1
W10813,13,19
W10814,3,1
W10815,1689,58
W10816,7,4
W10817,6,13
W10818,3,1
W10819,192,27
W10820,3,1
W10821,1,1
W10822,4,8
W10823,6,3
W10824,2196,50
W10825,1,1
W10826,519,46
W10827,16,5
W10828,3,1
W10829,5,1
W10830,2,1
W10831,7,13
W10832,40,12
W10833,1,1
W10834,124,29
W10835,10,16
W10836,5,12
W10837,9,7
W10838,448,36
W10839,2,1
W10840,5,7
W10841,25,19
W10842,8,16
W10843,1004,42
W10844,75,26
W10845,106,20
W10846,83,11
W10847,3,1
W10848,1,1
W10849,108,38
W10850,181,39
W10851,2,1
W10852,2,1
W10853,65,21
W10854,7,1
W10855,2,6
W10856,85,20
W10857,4,8
W10858,145,33
W10859,8,3
W10860,10,1
W10861,9,14
W10862,2,5
W10863,24,20
W10864,884,52
W10865,2,5
W10866,2,1
W10867,2,1
W10868,2,5
W10869,2,1
W10870,12,7
W10871,3,1
W10872,1048,28
W10873,3,4
W10874,4,1
W10875,41,20
W10876,79,33
W10877,2,1
W10878,624,45
W10879,2,1
W10880,4,2
W10881,115,38
W10882,5,7
W10883,41,23
W10884,3,1
W10885,15,4
W10886,35,20
W10887,8,6
W10888,1,1
W10889,5,8
W10890,13,11
W10891,4,12
W10892,26,12
W10893,1,1
W10894,13,13
W10895,147,33
W10896,5,1
W10897,2,2
W10898,2,1
W10899,6,1
W10900,17,5
W10901,3,9
W10902,25,21
W10903,34,17
W10904,2,1
W10905,2,1
W10906,60,22
W10907,2,1
W10908,3,1
W10909,39,16
W10910,129,24
W10911,11,15
W10912,57,13
W10913,20,15
W10914,8,5
W10915,22,9
W10916,170,38
W10917,5,3
W10918,4,1
W10919,2,1
W10920,10,10
W10921,22,21
W10922,2,1
W10923,34,1
W10924,2,5
W10925,1,1
W10926,11,5
W10927,3,2
W10928,6,2
W10929,12,21
W10930,9,8
W10931,529,39
W10932,9,1
W10933,16,17
W10934,19,10
W10935,1,1
W10936,10,10
W10937,1,1
W10938,86,27
W10939,2,1
W10940,2,6
W10941,98,32
W10942,46,28
W10943,3,1
W10944,3,1
W10945,7,13
W10946,10,10
W10947,3,1
W10948,4,3
W10949,1,1
W10950,2,1
W10951,2,1
W10952,81,21
W10953,16,15
W10954,2,1
W10955,4,5
W10956,1182,44
W10957,6,3
W10958,11,18
W10959,80,16
W10960,121,31
W10961,16,18
W10962,51,21
W10963,2,1
W10964,489,43
W10965,3,9
W10966,3,5
W10967,273,36
W10968,17,15
W10969,160,37
W10970,1,1
W10971,27,19
W10972,12,10
W10973,36,16
W10974,2,1
W10975,7,1
W10976,1,1
W10977,10,8
W10978,2,1
W10979,39,10
W10980,8,20
W10981,61,24
W10982,121,31
W10983,27,16
W10984,3,1
W10985,16,11
W10986,1,1
W10987,10,6
W10988,4,1
W10989,148,30
W10990,4,2
W10991,35,19
W10992,5,1
W10993,15,6
W10994,7,1
W10995,3,1
W10996,2,1
W10997,27,18
W10998,14,1
W10999,5,6
W11000,13,6
W11001,2,1
W11002,2,1
W11003,451,43
W11004,21,4
W11005,189,30
W11006,9,16
W11007,2,5
W11008,15,9
W11009,248,41
W11010,5,8
W11011,41,29
W11012,3,1
W11013,163,33
W11014,2,1
W11015,3,6
W11016,1,1
W11017,180,31
W11018,6,4
W11019,1,1
W11020,2,1
W11021,10,4
W11022,4,1
W11023,8,12
W11024,11,2
W11025,538,43
W11026,15,14
W11027,6,1
W11028,1,1
W11029,15,13
W11030,2,1
W11031,7,1
W11032,33,24
W11033,9,1
W11034,4,6
W11035,1,1
W11036,3,1
W11037,4,5
W11038,5,5
W11039,292,47
W11040,26,16
W11041,5,4
W11042,62,20
W11043,117,37
W11044,10,14
W11045,18,6
W11046,8,1
W11047,13,18
W11048,2,4
W11049,4,6
W11050,15,15
W11051,7,15
W11052,4,1
W11053,6,3
W11054,1,1
W11055,1,1
W11056,21,19
W11057,72,18
W11058,3,9
W11059,3,5
W11060,2,1
W11061,12,8
W11062,1,1
W11063,121,26
W11064,3,1
W11065,3,6
W11066,1,1
W11067,2,1
W11068,14,3
W11069,7,4
W11070,4,5
W11071,1,1
W11072,2,1
W11073,3,1
W11074,16,21
W11075,53,34
W11076,7,11
W11077,8,2
W11078,25,23
W11079,2,5
W11080,26,18
W11081,13,13
W11082,3,1
W11083,1,1
W11084,3,1
W11085,1,1
W11086,1,1
W11087,12,12
W11088,4,1
W11089,21,20
W11090,20,22
W11091,2,2
W11092,6,2
W11093,3,1
W11094,3,1
W11095,5,7
W11096,1,1
W11097,6,12
W11098,16,20
W11099,4,1
W11100,29,19
W11101,1,1
W11102,3,5
W11103,3,4
W11104,92,25
W11105,6,6
W11106,3,1
W11107,2,1
W11108,470,47
W11109,137,36
W11110,2,2
W11111,35,10
W11112,455,45
W11113,3,1
W11114,9,16
W11115,5,1
W11116,1,1
W11117,2,1
W11118,6,9
W11119,1,1
W11120,8,2
W11121,17,18
W11122,22,21
W11123,2,1
W11124,18,16
W11125,324,36
W11126,5,1
W11127,8,8
W11128,1,1
W11129,5,6
W11130,11,8
W11131,2,1
W11132,16,11
W11133,3,1
W11134,1,1
W11135,3,5
W11136,96,30
W11137,2,1
W11138,1,1
W11139,1,1
W11140,3,1
W11141,3,4
W11142,1,1
W11143,6,1
W11144,2,5
