"WID","login_count","level","playcount_sum","playtime_sum"
W10447,74,23,107,53408
W10448,50,20,101,46443
W10449,46,25,32,42470
W10450,2,1,1,814
W10452,73,11,37,14370
W10453,58,16,43,25006
W10454,78,29,91,58978
W10455,1836,55,1791,1152121
W10456,208,24,245,88000
W10459,21,1,5,5811
W10460,30,27,46,42291
W10463,3,1,2,388
W10465,2,8,1,1678
W10466,467,29,246,133275
W10467,484,38,445,177156
W10468,5,12,2,2503
W10469,3,1,3,2116
W10470,1,1,1,1802
W10471,2,1,4,4323
W10472,1,1,1,1002
W10473,352,35,345,180585
W10474,3,6,2,3305
W10475,1211,48,1184,616986
W10477,15,9,4,3218
W10478,14,6,3,2643
W10481,2,1,3,1849
W10482,6,4,1,826
W10483,2,4,1,1522
W10484,8,2,1,89
W10486,30,17,24,15089
W10487,35,17,26,18500
W10488,12,3,1,531
W10489,7,6,6,4750
W10490,12,13,9,5488
W10491,70,20,52,26911
W10492,18,14,8,10527
W10493,10,16,8,10618
W10494,7,9,3,1850
W10497,173,32,167,88194
W10498,158,34,198,196774
W10499,51,15,34,13758
W10501,5,11,4,4877
W10502,14,1,1,624
W10505,219,45,490,353655
W10506,12,21,31,24812
W10507,533,36,644,224579
W10508,3,5,2,2921
W10511,188,23,14,4148
W10512,547,49,1699,776949
W10514,18,15,7,5486
W10515,6,6,1,1607
W10517,38,25,51,43587
W10518,56,29,121,100009
W10519,26,17,7,8707
W10520,43,26,53,44485
W10521,7,11,19,9636
W10522,11,10,2,1571
W10523,7,4,4,1158
W10525,2,1,2,695
W10526,768,28,135,76246
W10528,8,8,1,1699
W10529,25,20,30,21318
W10530,143,29,116,50787
W10531,1771,54,3125,1638856
W10532,7,11,5,6556
W10534,22,25,26,28404
W10536,29,6,2,2558
W10537,4,1,3,1625
W10538,2,1,1,519
W10539,38,24,48,44413
W10541,112,31,57,47955
W10543,5,5,1,1480
W10544,7,6,1,1553
W10545,18,13,11,4633
W10546,988,52,1049,543740
W10547,5,5,2,2180
W10549,816,46,1511,715053
W10551,129,27,66,33652
W10552,275,32,153,78763
W10553,34,22,51,24771
W10555,16,6,5,3220
W10557,6,1,1,557
W10558,24,21,25,21251
W10560,1,1,1,1709
W10561,32,18,25,13952
W10562,6,2,1,118
W10563,29,21,45,26384
W10565,11,2,12,3010
W10566,5,1,8,6180
W10567,73,24,40,30563
W10568,2,5,2,1989
W10569,3,1,2,1225
W10570,4,4,4,3087
W10571,9,6,5,2326
W10572,74,27,52,34355
W10574,15,20,38,24447
W10575,575,39,722,256605
W10577,4,6,3,3655
W10578,1,1,2,3216
W10579,1384,49,1523,643230
W10580,2,5,1,1531
W10581,373,31,335,124444
W10583,118,21,11,7980
W10584,17,18,16,18771
W10585,10,7,3,3288
W10586,29,19,24,13808
W10587,3,1,1,662
W10588,3,1,1,582
W10589,311,34,43,49802
W10590,53,20,64,28194
W10592,3,8,2,1715
W10593,12,13,5,3956
W10594,179,42,295,248164
W10596,5,2,1,556
W10598,20,16,9,4194
W10599,4,1,2,825
W10601,5,6,3,4042
W10602,4,1,1,609
W10603,8,6,3,3091
W10605,2,1,1,1614
W10606,34,18,27,19729
W10608,2,1,1,686
W10610,52,13,6,2907
W10612,16,16,15,8064
W10614,24,14,2,587
W10615,13,12,7,6746
W10616,244,32,92,43731
W10617,4,14,5,4280
W10620,45,18,10,10369
W10621,6,5,4,4986
W10622,3,2,1,89
W10623,103,37,156,96056
W10624,43,21,43,27216
W10625,7,1,1,459
W10627,11,5,5,5364
W10631,242,43,426,234761
W10632,1453,52,3227,1257321
W10634,55,27,51,38472
W10635,15,6,4,3738
